DEBUG 2024-12-02 14:33:39,430 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2032.0_x64__qbz5n2kfra8p0\Lib\multiprocessing\reduction.py first seen with mtime 1711640174.7388642
DEBUG 2024-12-02 14:33:39,430 autoreload File C:\MyPythonProjects\IT-Academy\Python\repo\-Md-PT1-76-24\Tasks\Plotnitskiy\Web project\TechStore\Env\Lib\site-packages\sqlparse\tokens.py first seen with mtime 1724695075.08847
DEBUG 2024-12-02 14:33:39,431 autoreload File C:\MyPythonProjects\IT-Academy\Python\repo\-Md-PT1-76-24\Tasks\Plotnitskiy\Web project\TechStore\Env\Lib\site-packages\django\db\models\manager.py first seen with mtime 1724695078.677626
DEBUG 2024-12-02 14:33:39,431 autoreload File C:\MyPythonProjects\IT-Academy\Python\repo\-Md-PT1-76-24\Tasks\Plotnitskiy\Web project\TechStore\Env\Lib\site-packages\sqlparse\utils.py first seen with mtime 1724695075.08847
DEBUG 2024-12-02 14:33:39,431 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2032.0_x64__qbz5n2kfra8p0\Lib\encodings\aliases.py first seen with mtime 1711640140.6163998
DEBUG 2024-12-02 14:33:39,431 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2032.0_x64__qbz5n2kfra8p0\Lib\typing.py first seen with mtime 1723034983.953926
DEBUG 2024-12-02 14:33:39,432 autoreload File C:\MyPythonProjects\IT-Academy\Python\repo\-Md-PT1-76-24\Tasks\Plotnitskiy\Web project\TechStore\Env\Lib\site-packages\django\core\checks\security\csrf.py first seen with mtime 1724695078.3974059
DEBUG 2024-12-02 14:33:39,432 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2032.0_x64__qbz5n2kfra8p0\Lib\email\headerregistry.py first seen with mtime 1711640133.937075
DEBUG 2024-12-02 14:33:39,432 autoreload File C:\MyPythonProjects\IT-Academy\Python\repo\-Md-PT1-76-24\Tasks\Plotnitskiy\Web project\TechStore\Env\Lib\site-packages\django\db\models\fields\files.py first seen with mtime 1724695078.685695
DEBUG 2024-12-02 14:33:39,432 autoreload File C:\MyPythonProjects\IT-Academy\Python\repo\-Md-PT1-76-24\Tasks\Plotnitskiy\Web project\TechStore\Env\Lib\site-packages\django\views\generic\edit.py first seen with mtime 1724695078.8884137
DEBUG 2024-12-02 14:33:39,433 autoreload File C:\MyPythonProjects\IT-Academy\Python\repo\-Md-PT1-76-24\Tasks\Plotnitskiy\Web project\TechStore\Env\Lib\site-packages\django\utils\translation\__init__.py first seen with mtime 1724695078.8689232
